age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
27,Local-gov,316582,Bachelors,9,Never-married,Craft-repair,Husband,White,Male,0,0,44,United-States
29,Private,117963,HS-grad,10,Never-married,Sales,Unmarried,Black,Female,0,0,49,United-States
25,Local-gov,732569,HS-grad,9,Separated,Craft-repair,Husband,White,Male,0,0,38,United-States
16,Private,176467,Masters,9,Divorced,Other-service,Not-in-family,White,Male,0,0,22,United-States
60,Private,180928,Bachelors,7,Divorced,Handlers-cleaners,Other-relative,White,Female,0,0,45,El-Salvador
17,Private,161944,HS-grad,9,Married-spouse-absent,Craft-repair,Husband,White,Male,0,0,44,United-States
56,Private,88564,10th,9,Never-married,Exec-managerial,Husband,White,Male,0,0,40,United-States
52,State-gov,40151,Some-college,14,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,25,United-States
47,Private,434114,Assoc-voc,9,Never-married,Exec-managerial,Unmarried,White,Male,0,0,56,United-States
41,Private,215790,Some-college,9,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,22,United-States
50,Private,154940,HS-grad,10,Separated,Tech-support,Husband,White,Male,0,1672,37,India
58,Private,257124,Bachelors,10,Divorced,Transport-moving,Unmarried,White,Female,0,0,28,United-States
29,Private,173704,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,58,United-States
38,Self-emp-not-inc,100321,HS-grad,13,Never-married,Transport-moving,Not-in-family,White,Male,6418,0,28,United-States
61,Self-emp-not-inc,205733,Assoc-acdm,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,41,United-States
40,Private,79864,HS-grad,9,Divorced,Sales,Husband,White,Female,0,0,27,
53,Private,119793,Bachelors,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,7298,0,51,United-States
36,Private,806552,HS-grad,11,Married-civ-spouse,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,0,0,44,United-States
31,Private,388384,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,54,United-States
52,Self-emp-not-inc,257869,Some-college,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,44,United-States
40,Federal-gov,225775,Some-college,9,Married-civ-spouse,Sales,Own-child,White,Male,0,0,48,United-States
55,Private,254221,Bachelors,9,Married-civ-spouse,,Own-child,Black,Male,0,0,54,United-States
45,Local-gov,103524,HS-grad,10,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,37,United-States
50,Private,238611,Bachelors,4,Never-married,Craft-repair,Not-in-family,White,Female,0,0,44,United-States
64,Self-emp-inc,102938,10th,10,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,0,0,49,United-States
46,Private,252903,Some-college,6,Married-civ-spouse,Tech-support,Own-child,White,Female,0,0,32,United-States
49,Local-gov,426589,HS-grad,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States
39,Private,53833,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,49,United-States
31,,319962,HS-grad,10,Separated,Adm-clerical,Not-in-family,White,Male,0,0,32,United-States
46,Private,263561,9th,11,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,32,United-States
28,Private,120910,12th,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,24,United-States
45,Private,120475,Assoc-acdm,14,Divorced,Farming-fishing,Husband,White,Male,0,0,56,United-States
41,Private,334409,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,53,United-States
